symbol,currency,country,downMonthPercentage,industry,subsector,twoYear,sixMonth,threeMonth,oneYearRisk,twoYearRisk,sinceStartDateRisk,a_sinceStartDateRisk,a_oneYearRisk,a_twoYearRisk
PIH,USD,United States,0.576271186440678,Financials,Property & Casualty Insurance,-0.32593901733461045,-0.21492520878186966,0.30845777614980824,0.03656868978053909,0.028865030921982116,0.02372811511951441,0.3602909370261511,0.5473100329679953,-0.17898783037923882
PIHPP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TURN,USD,United States,0.5175879396984925,Financials,Equity Investment Instruments,0.43396881158035544,-0.1346512513629657,0.07342802258425611,0.020125561168710334,0.02286325136809628,0.03386230937325696,0.5139812643390655,0.30720335850838576,0.19748436798997737
FLWS,USD,United States,0.4472361809045226,Consumer Services,Specialty Retailers,0.7949996608757385,0.5211860250086082,0.4677022947708802,0.032588654884090656,0.029081654506981792,0.03459925544240462,0.5303023125680757,0.501695964938512,0.33977597413737004
FCCY,USD,United States,0.49748743718592964,Financials,Banks,-0.030801565088673866,-0.15577395798571658,-0.12639089305696938,0.01646795747912728,0.015004973437338528,0.028517681938062506,0.3827941066798313,0.24920541685397776,-0.01552123694244878
SRCE,USD,United States,0.44221105527638194,Financials,Banks,-0.0003244061249159555,-0.1476779088649565,0.105902124246024,0.014583543694400927,0.01406470787266915,0.026607489028472986,0.41431083884616476,0.2287339451958962,-0.00016221621950884835
VNET,USD,China,0.5052631578947369,Technology,Internet,0.4390106723534421,-0.19108920270313928,-0.054398170629963764,0.03917555139196944,0.036454192616896364,0.035123576239348926,0.5694577106167459,0.6131943717793612,0.19958770932076586
TWOU,USD,United States,0.36666666666666664,Technology,Software,0.6609067253801899,-0.09229953534225757,0.37268701092176326,0.027650926634644277,0.024174789237691566,0.028166565265623215,0.4461978923393538,0.4345684235046958,0.2887617023252165
TPNL,USD,United States,0.4112903225806452,Financials,Specialty Finance,16.47456339163891,1.133514676731919,1.224431535173124,0.05127653121678644,0.048934415962903544,0.32126107105050306,3.564217856840126,0.7910557954803225,3.180258770894322
JOBS,USD,China,0.46551724137931033,Industrials,Business Training & Employment Agencies,1.029620543031363,-0.0389660859136145,0.1849776177940302,0.03243912676288788,0.02709398972185904,0.03155153491996359,0.5007352120176104,0.5098208954615935,0.4246475153634892
EGHT,USD,United States,0.5125628140703518,Telecommunications,Fixed Line Telecommunications,0.3772574040986081,-0.031058988808418033,0.14135277090378037,0.026149854658926382,0.025661636795942355,0.05339700488829397,0.8090592120176965,0.4067962702401285,0.173566105551199
AVHI,USD,United States,0.4793814432989691,Financials,Real Estate Holding & Development,0.19230588648420033,0.19159180105027157,-0.07935064711052116,0.029544662496834635,0.024926855322115454,0.026947749148236104,0.4166666727863692,0.4188678830997016,0.09192760130156996
SHLM,USD,United States,0.4583333333333333,Basic Materials,Commodity Chemicals,0.9303928268114465,0.01295616603931217,0.010437571252906161,0.014675941322609246,0.020921934415743738,0.023866501636259356,0.3701598888219481,0.21915853982024366,0.38938577321471324
AAON,USD,United States,0.41708542713567837,Industrials,Building Materials & Fixtures,0.22063192563546516,0.15665973356025334,0.2418709767632489,0.02041375318749507,0.01829990154831673,0.025340427507573142,0.39410854688298735,0.3188730184333436,0.10482212397990343
ABEO,USD,United States,0.5689655172413793,Health Care,Pharmaceuticals,0.4615630248227435,-0.41640631288822916,0.046218489429419314,0.0473330051733822,0.051378843831370376,0.07197747583962576,1.1650925447546494,0.7317505022339779,0.20895120861958016
ABEOW,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABIL,USD,Israel,0.6,Industrials,Aerospace,-0.9068217591185787,-0.48851431269686885,-0.05778899384382788,0.16106424132800706,0.12921234769867246,0.09397780430080489,1.3109438020342523,2.505571579493408,-0.694748888812143
ABMD,USD,United States,0.4221105527638191,Health Care,Medical Equipment,1.2900152233088904,-0.36409116392211693,-0.12010838928705722,0.030745713099931602,0.024791586823743047,0.033391492147129796,0.5202570889008553,0.48418397408193903,0.5132796249566338
ABP,nan,nan,0.1652892561983471,nan,nan,0.10606951532104786,0.10606951532104786,0.09472934444782526,0.014197063710145825,0.014197063710145825,0.027952732589595942,0.2520055226701881,0.11962658516101557,0.05169839560638656
AXAS,USD,United States,0.4824120603015075,Oil & Gas,Exploration & Production,-0.3564356545871388,-0.44205985603086456,0.19266046784250204,0.043708020624426594,0.038333047104526875,0.05065812877250623,0.7711423873931473,0.6671739792504913,-0.1977753772085643
ACIU,USD,Switzerland,0.5666666666666667,Health Care,Biotechnology,-0.5929174559892428,-0.39499999272226277,-0.4878306155382961,0.07362199562418227,0.05609371449842749,0.05549379049341743,0.8677887355667097,1.1381684318611285,-0.36196979381007577
ACIA,USD,United States,0.5,Technology,Telecommunications Equipment,0.012562580291630102,0.3572637270140703,0.477631420784888,0.04040805818190677,0.03582500372616328,0.04244099766882169,0.6697591204440857,0.6311940466385092,0.006261685791340232
ACTG,USD,United States,0.5051546391752577,Industrials,Business Support Services,-0.40366959600255614,0.015625290203969,0.09060437336865067,0.024265098948069427,0.03093695771359062,0.04027080241149622,0.6234379517152893,0.3457244429785068,-0.2277756776703781
ACHC,USD,United States,0.4318181818181818,Health Care,Health Care Providers,-0.29130667541686717,-0.15767055457246285,0.1532472181253081,0.02890771911682409,0.02758726122722605,0.024717269922640082,0.391097951855541,0.4496985727551308,-0.15816074896502197
ACAD,USD,United States,0.47752808988764045,Health Care,Biotechnology,-0.15758341761498745,0.2981697478194169,0.6666666651996762,0.04865703303676141,0.040696228713122465,0.060761199239343346,0.9511438783287398,0.7616030341755607,-0.08216745406092052
ACST,USD,Canada,0.5425531914893617,Health Care,Pharmaceuticals,-0.22691181879418879,-0.20930174844728133,0.22610889349490085,0.06702828896572861,0.08752813332137764,0.06727433215238346,1.0332024281016647,1.0187417933443748,-0.12074566750808036
AXDX,USD,United States,0.507537688442211,Technology,Software,-0.07777780755592327,-0.09586046143859776,0.8043478107438294,0.035423620205692466,0.03340564354638827,0.06056309615128801,0.8948492981536099,0.5521995898585456,-0.03967599611168904
ACCP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
XLRN,USD,United States,0.45454545454545453,Health Care,Biotechnology,0.6812565260335302,-0.20688445343007028,0.04225020155643199,0.03850914189805777,0.03468428458454382,0.03756811719710362,0.5953452069665087,0.6052186715576552,0.2966327645226039
ANCX,USD,United States,0.44,Financials,Banks,-0.04741864432792307,-0.13975916117557402,-0.08505295966931072,0.015103054965900187,0.014488949432799166,0.022917132438341814,0.35229387654870054,0.23736314060494224,-0.02399725631939087
ARAY,USD,United States,0.5310344827586206,Health Care,Medical Equipment,-0.03541667074542264,0.028888921293164643,0.3577717331619237,0.04024213162386255,0.036180777678436124,0.03579746155800771,0.5555004109196207,0.5982422952589808,-0.01786796750407471
ACRX,USD,United States,0.4536082474226804,Health Care,Pharmaceuticals,0.0341466805298976,-0.17402594723995718,0.3766234460828056,0.05596088756375183,0.06210184933867574,0.04999901758905142,0.7599298308247905,0.8319184016836959,0.016930027351881094
